Date,MyWay,Paper Ticket,Total
22-04-2019,4075,1418,5493
23-04-2019,8134,1018,9152
24-04-2019,9518,1147,10665
25-04-2019,4866,1313,6179
26-04-2019,9074,1143,10217
27-04-2019,7124,1320,8444
28-04-2019,6023,2243,8266
29-04-2019,14969,332,15301
30-04-2019,16549,274,16823
01-05-2019,17248,239,17487
02-05-2019,16647,245,16892
03-05-2019,16274,314,16588
04-05-2019,12025,632,12657
05-05-2019,8880,529,9409
06-05-2019,16885,216,17101
07-05-2019,17826,193,18019
08-05-2019,16945,183,17128
09-05-2019,17347,226,17573
10-05-2019,15971,263,16234
11-05-2019,10512,523,11035
12-05-2019,8062,427,8489
13-05-2019,16538,208,16746
14-05-2019,17948,219,18167
15-05-2019,18217,200,18417
16-05-2019,17802,216,18018
17-05-2019,18936,382,19318
18-05-2019,10870,598,11468
19-05-2019,8241,438,8679
20-05-2019,16980,185,17165
21-05-2019,17766,202,17968
22-05-2019,18252,238,18490
23-05-2019,18033,218,18251
24-05-2019,18805,339,19144
25-05-2019,11226,667,11893
26-05-2019,9361,478,9839
27-05-2019,5192,362,5554
28-05-2019,14916,251,15167
29-05-2019,14119,213,14332
30-05-2019,15170,271,15441
31-05-2019,15300,382,15682
01-06-2019,7349,602,7951
02-06-2019,5622,413,6035
03-06-2019,13762,307,14069
04-06-2019,14223,286,14509
05-06-2019,14168,302,14470
06-06-2019,14410,286,14696
07-06-2019,14990,414,15404
08-06-2019,6943,817,7760
09-06-2019,5430,744,6174
10-06-2019,4276,386,4662
11-06-2019,14596,304,14900
12-06-2019,14904,277,15181
13-06-2019,14135,340,14475
14-06-2019,15108,417,15525
15-06-2019,6958,579,7537
16-06-2019,4891,436,5327
17-06-2019,14546,315,14861
18-06-2019,14820,342,15162
19-06-2019,14806,350,15156
20-06-2019,14790,348,15138
21-06-2019,14902,488,15390
22-06-2019,6990,620,7610
23-06-2019,4784,374,5158
24-06-2019,13562,298,13860
25-06-2019,13943,408,14351
26-06-2019,14333,300,14633
27-06-2019,13325,413,13738
28-06-2019,13319,455,13774
29-06-2019,7118,715,7833
30-06-2019,5195,465,5660
01-07-2019,12931,344,13275
02-07-2019,13822,402,14224
03-07-2019,13670,450,14120
04-07-2019,13675,342,14017
05-07-2019,13189,565,13754
06-07-2019,6682,772,7454
07-07-2019,4891,480,5371
08-07-2019,11943,493,12436
